availability,location,bedroom,total_sqft,bathroom,balcony,price,furnishing,amenities
Under Construction,Sarjapur  Road,1,685.0,1.0,1.0,40.0,Semi Furnished,2
Under Construction,Electronic City,2,1152.0,2.0,1.0,64.5,Semi Furnished,5
Ready To Move,Whitefield,3,1655.0,3.0,1.0,108.0,Fully Furnished,7
Ready To Move,Sarjapur  Road,4,3750.0,6.0,3.0,290.0,Fully Furnished,8
Ready To Move,Uttarahalli,2,1075.0,2.0,1.0,40.0,Semi Furnished,2
Ready To Move,Thanisandra,3,1825.0,3.0,2.0,100.0,Fully Furnished,7
Under Construction,Chandapura,3,1190.0,2.0,2.0,30.35,Semi Furnished,0
Ready To Move,Hoodi,3,1445.0,3.0,2.0,65.0,Semi Furnished,5
Ready To Move,JP Nagar,3,1400.0,2.0,1.0,95.0,Fully Furnished,7
Ready To Move,Bellandur,2,1096.0,2.0,2.0,40.0,Semi Furnished,2
Ready To Move,Kanakpura Road,2,1322.0,2.0,3.0,70.0,Semi Furnished,5
Ready To Move,Whitefield,2,1390.0,2.0,1.0,72.0,Semi Furnished,6
Ready To Move,Yeshwanthpur,6,2500.0,5.0,2.0,185.0,Fully Furnished,8
Under Construction,Sarjapur  Road,3,2900.0,3.0,2.0,285.0,Fully Furnished,8
Ready To Move,Electronic City,2,545.0,1.0,1.0,28.0,Unfurnished,1
Ready To Move,Thanisandra,3,1847.0,3.0,2.0,123.0,Fully Furnished,7
Ready To Move,Whitefield,3,2023.0,4.0,2.0,130.0,Fully Furnished,7
Ready To Move,Whitefield,5,7200.0,5.0,2.0,900.0,Fully Furnished,10
Ready To Move,Thanisandra,3,1719.0,3.0,2.0,135.0,Fully Furnished,7
Under Construction,Electronic City,2,1025.0,1.0,1.0,26.63,Unfurnished,1
Under Construction,Whitefield,3,1496.0,2.0,1.0,71.81,Semi Furnished,6
Under Construction,Hennur Road,2,1165.0,2.0,1.0,52.0,Semi Furnished,4
Ready To Move,Chandapura,2,876.0,2.0,2.0,29.5,Unfurnished,1
Ready To Move,Hennur Road,5,1500.0,5.0,1.0,175.0,Fully Furnished,8
Ready To Move,Raja Rajeshwari Nagar,3,1693.0,3.0,1.0,71.38,Semi Furnished,6
Ready To Move,Whitefield,2,1125.0,2.0,2.0,40.0,Semi Furnished,2
Ready To Move,Yelahanka,2,1104.0,2.0,2.0,58.0,Semi Furnished,4
Ready To Move,Hoodi,2,1220.0,2.0,2.0,50.89,Semi Furnished,0
Ready To Move,Yeshwanthpur,2,585.0,1.0,0.0,70.0,Semi Furnished,5
Ready To Move,Uttarahalli,3,1290.0,2.0,3.0,56.12,Semi Furnished,4
Ready To Move,Whitefield,4,3100.0,4.0,2.0,465.0,Fully Furnished,9
Ready To Move,Hebbal,4,4000.0,6.0,1.0,440.0,Fully Furnished,9
Ready To Move,Sarjapur  Road,3,2140.0,3.0,2.0,139.0,Fully Furnished,7
Under Construction,Rajaji Nagar,2,1357.0,2.0,1.0,130.0,Fully Furnished,7
Ready To Move,Whitefield,4,5700.0,5.0,3.0,650.0,Fully Furnished,10
Ready To Move,Thanisandra,2,1188.0,2.0,1.0,36.0,Semi Furnished,2
Ready To Move,Electronic City,3,1500.0,2.0,1.0,63.0,Semi Furnished,5
Ready To Move,JP Nagar,3,1680.0,2.0,3.0,92.0,Fully Furnished,7
Under Construction,Kanakpura Road,2,1204.0,2.0,1.0,82.0,Fully Furnished,6
Ready To Move,Whitefield,4,2785.0,5.0,3.0,295.0,Fully Furnished,8
Ready To Move,Sarjapur  Road,4,2383.0,5.0,1.0,215.0,Fully Furnished,8
Ready To Move,Whitefield,2,1495.0,2.0,1.0,78.0,Semi Furnished,6
Under Construction,Hebbal,3,2526.0,2.0,2.0,250.0,Fully Furnished,8
Ready To Move,Yeshwanthpur,2,1170.0,2.0,2.0,57.0,Semi Furnished,4
Under Construction,Haralur Road,4,2805.0,4.0,3.0,154.0,Fully Furnished,8
Ready To Move,Bannerghatta Road,2,793.0,2.0,1.0,45.0,Semi Furnished,3
Ready To Move,Yeshwanthpur,3,1523.0,3.0,3.0,170.0,Fully Furnished,8
Ready To Move,Haralur Road,2,953.0,2.0,1.0,90.0,Fully Furnished,6
Under Construction,Hennur Road,3,1561.0,3.0,2.0,95.0,Fully Furnished,7
Ready To Move,Kanakpura Road,2,1430.0,2.0,2.0,78.0,Semi Furnished,6
Ready To Move,Raja Rajeshwari Nagar,2,1206.0,2.0,1.0,40.7,Semi Furnished,0
Ready To Move,Whitefield,2,1116.0,2.0,3.0,48.76,Semi Furnished,3
Ready To Move,Bellandur,3,1420.0,3.0,2.0,62.0,Semi Furnished,5
Ready To Move,Uttarahalli,2,1075.0,2.0,1.0,46.76,Semi Furnished,3
Under Construction,JP Nagar,2,1125.0,2.0,2.0,39.98,Semi Furnished,2
Ready To Move,Sarjapur  Road,3,1612.0,3.0,1.0,98.38,Fully Furnished,7
Under Construction,Hennur Road,3,1482.0,2.0,1.0,83.73,Fully Furnished,6
Ready To Move,Electronic City,3,1575.0,3.0,3.0,101.0,Fully Furnished,7
Ready To Move,Uttarahalli,2,1000.0,2.0,1.0,35.0,Semi Furnished,2
Ready To Move,Yeshwanthpur,3,2559.0,3.0,2.0,141.0,Fully Furnished,7
Under Construction,Hoodi,3,1850.0,3.0,2.0,146.0,Fully Furnished,7
Under Construction,Yeshwanthpur,3,1713.0,3.0,2.0,110.0,Fully Furnished,7
Ready To Move,Kanakpura Road,3,1200.0,2.0,2.0,42.0,Semi Furnished,3
Ready To Move,Hoodi,5,3250.0,5.0,2.0,395.0,Fully Furnished,9
Ready To Move,Thanisandra,2,1093.0,2.0,2.0,70.0,Semi Furnished,5
Ready To Move,Yeshwanthpur,4,1200.0,4.0,1.0,110.0,Fully Furnished,7
Ready To Move,Thanisandra,3,1702.0,3.0,2.0,107.0,Fully Furnished,7
Ready To Move,Raja Rajeshwari Nagar,2,945.0,2.0,1.0,45.0,Semi Furnished,3
Ready To Move,Kanakpura Road,3,1570.0,3.0,2.0,68.0,Semi Furnished,5
Ready To Move,Yeshwanthpur,2,1162.0,2.0,2.0,64.08,Semi Furnished,5
Under Construction,Hebbal,3,1645.0,3.0,2.0,113.0,Fully Furnished,7
Ready To Move,Yeshwanthpur,2,770.0,1.0,1.0,70.0,Semi Furnished,5
Ready To Move,Bannerghatta Road,3,1550.0,3.0,2.0,82.0,Fully Furnished,6
Under Construction,Kanakpura Road,3,1706.0,3.0,2.0,135.0,Fully Furnished,7
Ready To Move,Uttarahalli,2,1155.0,2.0,1.0,40.6,Semi Furnished,0
Ready To Move,Sarjapur  Road,5,1480.0,4.0,1.0,169.0,Fully Furnished,8
Ready To Move,Whitefield,2,1362.0,2.0,3.0,85.0,Fully Furnished,6
Under Construction,JP Nagar,2,1187.0,2.0,1.0,59.0,Semi Furnished,4
Ready To Move,Raja Rajeshwari Nagar,3,1529.0,3.0,3.0,51.77,Semi Furnished,4
Ready To Move,Raja Rajeshwari Nagar,2,1267.0,2.0,2.0,42.85,Semi Furnished,3
Ready To Move,Rajaji Nagar,3,2390.0,3.0,2.0,410.0,Fully Furnished,9
Ready To Move,Thanisandra,3,1261.0,2.0,1.0,80.0,Semi Furnished,6
Ready To Move,Yeshwanthpur,3,3027.0,4.0,3.0,260.0,Fully Furnished,8
Ready To Move,Rajaji Nagar,2,1056.0,1.0,0.0,250.0,Fully Furnished,8
Under Construction,Whitefield,3,1600.0,3.0,2.0,69.0,Semi Furnished,5
Ready To Move,Rajaji Nagar,4,3516.0,4.0,3.0,540.0,Fully Furnished,10
Ready To Move,Yeshwanthpur,3,1678.0,3.0,,92.13,Fully Furnished,7
Under Construction,Hoodi,3,1559.0,3.0,1.0,81.55,Fully Furnished,6
Under Construction,Chandapura,1,645.0,1.0,1.0,16.45,Unfurnished,1
Ready To Move,Whitefield,4,4000.0,4.0,2.0,330.0,Fully Furnished,9
Under Construction,Electronic City,2,1140.0,2.0,1.0,33.06,Semi Furnished,2
Ready To Move,Yelahanka,3,1345.0,2.0,1.0,57.0,Semi Furnished,4
Ready To Move,Marathahalli,3,1720.0,3.0,,175.0,Fully Furnished,8
Ready To Move,JP Nagar,3,1300.0,2.0,2.0,52.0,Semi Furnished,4
Ready To Move,Sarjapur  Road,1,835.0,1.0,1.0,46.95,Semi Furnished,3
Ready To Move,Uttarahalli,3,1617.0,3.0,3.0,66.68,Semi Furnished,5
Under Construction,Kanakpura Road,2,1297.0,2.0,1.0,105.0,Fully Furnished,7
Ready To Move,KR Puram,2,1000.0,2.0,1.0,44.5,Semi Furnished,3
Ready To Move,Marathahalli,3,1710.0,3.0,2.0,100.0,Fully Furnished,7
Under Construction,Whitefield,1,624.0,1.0,1.0,35.0,Semi Furnished,2
Ready To Move,Whitefield,2,1190.0,2.0,3.0,59.0,Semi Furnished,4
Ready To Move,Electronic City,3,1518.0,3.0,3.0,75.0,Semi Furnished,6
Ready To Move,Whitefield,2,1075.0,2.0,1.0,53.0,Semi Furnished,4
Ready To Move,Electronic City,2,891.0,2.0,1.0,26.0,Unfurnished,1
Ready To Move,JP Nagar,2,1175.0,2.0,2.0,82.5,Fully Furnished,6
Ready To Move,JP Nagar,3,2050.0,3.0,3.0,82.0,Fully Furnished,6
Ready To Move,Whitefield,4,3589.0,5.0,0.0,400.0,Fully Furnished,9
Ready To Move,Hennur Road,2,980.0,2.0,1.0,51.0,Semi Furnished,0
Under Construction,Kanakpura Road,1,525.0,1.0,1.0,30.0,Unfurnished,1
Ready To Move,Hennur Road,4,2502.0,4.0,2.0,180.0,Fully Furnished,8
Ready To Move,JP Nagar,3,1650.0,3.0,2.0,110.0,Fully Furnished,7
Ready To Move,Electronic City,3,1025.0,2.0,1.0,47.0,Semi Furnished,3
Ready To Move,JP Nagar,3,1415.0,3.0,1.0,65.0,Semi Furnished,5
Ready To Move,JP Nagar,3,1765.0,3.0,2.0,118.0,Fully Furnished,7
Ready To Move,Thanisandra,2,1265.0,2.0,2.0,82.0,Fully Furnished,6
Under Construction,Hebbal,3,1255.0,2.0,1.0,77.68,Semi Furnished,6
Ready To Move,Chandapura,4,3300.0,4.0,2.0,135.0,Fully Furnished,7
Ready To Move,Sarjapur  Road,3,1700.0,3.0,3.0,135.0,Fully Furnished,7
Ready To Move,Electronic City,2,1060.0,2.0,1.0,52.0,Semi Furnished,4
Ready To Move,JP Nagar,2,1530.0,2.0,1.0,108.0,Fully Furnished,7
Under Construction,Marathahalli,2,1102.0,2.0,2.0,53.67,Semi Furnished,4
Under Construction,Kanakpura Road,2,900.0,2.0,1.0,46.0,Semi Furnished,3
Ready To Move,Marathahalli,3,1700.0,3.0,2.0,126.0,Fully Furnished,7
Ready To Move,Whitefield,3,1700.0,3.0,2.0,95.0,Fully Furnished,7
Ready To Move,Yeshwanthpur,3,682.0,2.0,1.0,130.0,Fully Furnished,7
Ready To Move,Bannerghatta Road,2,1215.0,2.0,1.0,68.0,Semi Furnished,5
Ready To Move,JP Nagar,3,1680.0,3.0,3.0,130.0,Fully Furnished,7
Ready To Move,Rajaji Nagar,6,3900.0,6.0,3.0,260.0,Fully Furnished,8
Ready To Move,Uttarahalli,2,1155.0,2.0,2.0,40.42,Semi Furnished,0
Under Construction,Whitefield,3,1451.0,2.0,2.0,52.43,Semi Furnished,4
Ready To Move,Bellandur,2,1251.0,2.0,3.0,47.0,Semi Furnished,3
Under Construction,Thanisandra,3,1595.0,3.0,1.0,110.0,Fully Furnished,7
Ready To Move,Yeshwanthpur,3,2500.0,3.0,3.0,138.0,Fully Furnished,7
Ready To Move,Hennur Road,3,2160.0,3.0,2.0,160.0,Fully Furnished,8
Ready To Move,Thanisandra,3,1702.0,3.0,2.0,130.0,Fully Furnished,7
Ready To Move,Electronic City,2,1060.0,2.0,1.0,55.0,Semi Furnished,4
Ready To Move,Sarjapur  Road,2,1350.0,2.0,2.0,68.0,Semi Furnished,5
Under Construction,Bannerghatta Road,2,1246.0,2.0,2.0,47.35,Semi Furnished,3
Ready To Move,Hebbal,2,1053.0,2.0,1.0,48.0,Semi Furnished,3
Under Construction,Whitefield,1,905.0,1.0,1.0,55.0,Semi Furnished,4
Ready To Move,Yeshwanthpur,1,605.0,1.0,0.0,41.745,Semi Furnished,3
Ready To Move,KR Puram,2,800.0,1.0,1.0,130.0,Fully Furnished,7
Ready To Move,Whitefield,3,1704.0,3.0,1.0,120.0,Fully Furnished,7
Under Construction,Bannerghatta Road,4,4723.0,4.0,3.0,500.0,Fully Furnished,9
Ready To Move,Whitefield,2,1105.0,2.0,1.0,35.4,Semi Furnished,2
Under Construction,JP Nagar,2,1100.0,1.0,1.0,15.0,Unfurnished,1
Under Construction,Whitefield,2,1200.0,2.0,1.0,46.13,Semi Furnished,3
Ready To Move,Yeshwanthpur,9,2400.0,6.0,,270.0,Fully Furnished,8
Ready To Move,Haralur Road,2,1194.0,2.0,2.0,47.0,Semi Furnished,3
Ready To Move,Uttarahalli,2,1125.0,1.0,2.0,45.0,Semi Furnished,3
Ready To Move,Sarjapur  Road,2,1000.0,2.0,2.0,40.0,Semi Furnished,2
Ready To Move,Yelahanka,4,3206.0,5.0,,270.0,Fully Furnished,8
Ready To Move,JP Nagar,3,2980.0,4.0,2.0,260.0,Fully Furnished,8
Ready To Move,Yeshwanthpur,3,1855.0,3.0,3.0,135.0,Fully Furnished,7
Ready To Move,Rajaji Nagar,3,2450.0,3.0,3.0,330.0,Fully Furnished,9
Under Construction,Sarjapur  Road,2,1190.0,2.0,1.0,50.0,Semi Furnished,3
Ready To Move,Chandapura,2,900.0,2.0,3.0,35.0,Semi Furnished,2
Under Construction,Sarjapur  Road,3,1157.0,2.0,1.0,57.84,Semi Furnished,4
Under Construction,Electronic City,2,1090.0,2.0,1.0,31.49,Semi Furnished,2
Ready To Move,KR Puram,7,1200.0,8.0,2.0,110.0,Fully Furnished,7
Ready To Move,Marathahalli,2,1350.0,2.0,1.0,90.0,Fully Furnished,6
Under Construction,Electronic City,2,1128.0,2.0,1.0,64.0,Semi Furnished,5
Ready To Move,JP Nagar,3,2500.0,3.0,2.0,135.0,Fully Furnished,7
Ready To Move,Marathahalli,2,1156.0,2.0,2.0,52.0,Semi Furnished,4
Ready To Move,Whitefield,3,1700.0,3.0,1.0,140.0,Fully Furnished,7
Ready To Move,Rajaji Nagar,2,1763.0,3.0,2.0,240.0,Fully Furnished,8
Ready To Move,Haralur Road,3,2017.0,3.0,2.0,105.0,Fully Furnished,7
Under Construction,Kanakpura Road,2,1698.0,2.0,1.0,105.0,Fully Furnished,7
Under Construction,Electronic City,3,1400.0,2.0,2.0,40.43,Semi Furnished,0
Ready To Move,KR Puram,4,3628.0,4.0,1.0,246.0,Fully Furnished,8
Ready To Move,Electronic City,2,770.0,1.0,1.0,40.0,Semi Furnished,2
Under Construction,Kanakpura Road,3,1401.0,3.0,2.0,69.0,Semi Furnished,5
Under Construction,Rajaji Nagar,2,1222.0,2.0,0.0,112.0,Fully Furnished,7
Ready To Move,Raja Rajeshwari Nagar,2,1185.0,2.0,1.0,51.15,Semi Furnished,4
Ready To Move,Electronic City,2,1070.0,2.0,1.0,46.0,Semi Furnished,3
Under Construction,Hebbal,2,687.325,2.0,0.0,42.72,Semi Furnished,3
Under Construction,Hennur Road,4,1650.0,5.0,3.0,309.0,Fully Furnished,9
Ready To Move,Whitefield,4,2400.0,5.0,,329.0,Fully Furnished,9
Ready To Move,Thanisandra,2,1305.0,2.0,2.0,90.0,Fully Furnished,6
Ready To Move,Electronic City,2,890.0,2.0,1.0,40.0,Semi Furnished,2
Ready To Move,Yelahanka,6,3600.0,6.0,1.0,200.0,Fully Furnished,8
Ready To Move,Yeshwanthpur,3,1850.0,3.0,3.0,100.0,Fully Furnished,7
Ready To Move,Yeshwanthpur,3,1860.0,3.0,2.0,168.0,Fully Furnished,8
Ready To Move,Yeshwanthpur,2,1362.0,2.0,0.0,100.0,Fully Furnished,7
Ready To Move,Electronic City,2,1116.0,2.0,1.0,33.0,Semi Furnished,2
Ready To Move,Raja Rajeshwari Nagar,1,550.0,1.0,0.0,21.0,Unfurnished,1
Under Construction,Kanakpura Road,1,525.0,1.0,1.0,30.0,Unfurnished,1
Under Construction,Whitefield,3,1564.0,3.0,1.0,103.0,Fully Furnished,7
Ready To Move,Bellandur,2,1049.0,2.0,1.0,51.0,Semi Furnished,0
Under Construction,Whitefield,2,1160.0,2.0,2.0,39.0,Semi Furnished,2
Under Construction,Bannerghatta Road,3,1655.0,3.0,3.0,90.0,Fully Furnished,6
Ready To Move,KR Puram,2,1020.0,2.0,2.0,39.0,Semi Furnished,2
Ready To Move,Thanisandra,3,1564.0,3.0,2.0,100.0,Fully Furnished,7
Under Construction,Kanakpura Road,3,1591.0,3.0,1.0,115.0,Fully Furnished,7
Ready To Move,Kanakpura Road,3,1550.0,3.0,3.0,63.5,Semi Furnished,5
Ready To Move,Yeshwanthpur,3,2502.0,3.0,3.0,138.0,Fully Furnished,7
Ready To Move,Yeshwanthpur,2,1195.0,2.0,2.0,100.0,Fully Furnished,7
Ready To Move,Kanakpura Road,3,1450.0,3.0,3.0,60.9,Semi Furnished,0
Ready To Move,Whitefield,5,2297.0,5.0,2.0,269.0,Fully Furnished,8
Ready To Move,Whitefield,2,1280.0,2.0,0.0,85.0,Fully Furnished,6
Under Construction,Electronic City,2,1140.0,2.0,1.0,32.93,Semi Furnished,2
Ready To Move,Hoodi,2,985.0,2.0,2.0,67.0,Semi Furnished,5
Under Construction,Yelahanka,3,1400.0,2.0,2.0,80.54,Fully Furnished,6
Under Construction,Whitefield,2,1118.0,2.0,1.0,75.0,Semi Furnished,6
Ready To Move,Raja Rajeshwari Nagar,2,1133.0,2.0,2.0,38.41,Semi Furnished,2
Ready To Move,Sarjapur  Road,4,1750.0,3.0,1.0,185.0,Fully Furnished,8
Under Construction,Hoodi,3,1639.0,3.0,1.0,98.32,Fully Furnished,7
Ready To Move,Yelahanka,2,845.0,2.0,2.0,43.0,Semi Furnished,3
Ready To Move,Bellandur,2,924.0,2.0,2.0,35.11,Semi Furnished,2
Ready To Move,Yeshwanthpur,2,1164.0,2.0,2.0,64.08,Semi Furnished,5
Under Construction,Sarjapur  Road,3,1157.0,2.0,1.0,75.0,Semi Furnished,6
Ready To Move,Electronic City,3,1360.0,2.0,1.0,70.5,Semi Furnished,0
Ready To Move,Thanisandra,3,1430.0,2.0,3.0,56.0,Semi Furnished,4
Under Construction,Electronic City,3,1600.0,3.0,2.0,104.0,Fully Furnished,7
Ready To Move,Bellandur,2,1281.0,2.0,2.0,87.0,Fully Furnished,6
Ready To Move,Bannerghatta Road,4,3000.0,4.0,2.0,140.0,Fully Furnished,7
Ready To Move,KR Puram,2,1200.0,2.0,3.0,47.0,Semi Furnished,3
Under Construction,Haralur Road,3,1520.0,2.0,2.0,125.0,Fully Furnished,7
Ready To Move,Whitefield,3,2901.0,4.0,2.0,190.0,Fully Furnished,8
Under Construction,Chandapura,1,630.0,1.0,0.0,13.86,Unfurnished,1
Under Construction,Hoodi,3,1837.0,3.0,3.0,145.0,Fully Furnished,7
Ready To Move,KR Puram,2,734.0,2.0,1.0,22.0,Unfurnished,1
Ready To Move,Bannerghatta Road,3,1100.0,2.0,2.0,52.0,Semi Furnished,4
Under Construction,Electronic City,3,1252.0,2.0,3.0,65.0,Semi Furnished,5
Ready To Move,KR Puram,2,1550.0,2.0,1.0,71.0,Semi Furnished,0
Under Construction,Electronic City,2,1140.0,2.0,1.0,32.92,Semi Furnished,2
Ready To Move,Kanakpura Road,3,1420.0,3.0,3.0,68.0,Semi Furnished,5
Ready To Move,Whitefield,2,1216.0,2.0,1.0,84.0,Fully Furnished,6
Ready To Move,Electronic City,3,1550.0,2.0,2.0,82.0,Fully Furnished,6
Ready To Move,Chandapura,5,1200.0,3.0,1.0,79.0,Semi Furnished,6
Ready To Move,Marathahalli,2,1019.0,2.0,2.0,49.86,Semi Furnished,3
Ready To Move,Yeshwanthpur,2,1000.0,2.0,2.0,32.0,Semi Furnished,2
Ready To Move,Haralur Road,3,1255.0,3.0,2.0,115.0,Fully Furnished,7
Ready To Move,Haralur Road,2,1243.0,2.0,2.0,46.0,Semi Furnished,3
Ready To Move,Yelahanka,2,1350.0,2.0,2.0,54.0,Semi Furnished,4
Ready To Move,Electronic City,2,880.0,1.0,1.0,16.5,Unfurnished,1
Ready To Move,Marathahalli,4,2500.0,5.0,2.0,181.0,Fully Furnished,8
Ready To Move,Yeshwanthpur,3,1677.0,3.0,,92.13,Fully Furnished,7
Ready To Move,Yeshwanthpur,2,1163.0,2.0,2.0,64.08,Semi Furnished,5
Under Construction,Whitefield,1,665.0,,,28.585,Unfurnished,1
Ready To Move,Electronic City,2,1200.0,2.0,1.0,59.0,Semi Furnished,4
Under Construction,Hebbal,3,1645.0,3.0,2.0,121.0,Fully Furnished,7
Ready To Move,Yelahanka,3,1075.0,2.0,1.0,33.53,Semi Furnished,2
Ready To Move,Hebbal,2,1333.0,2.0,1.0,104.0,Fully Furnished,7
Ready To Move,Thanisandra,3,1241.0,2.0,1.0,68.0,Semi Furnished,5
Under Construction,Thanisandra,3,1546.0,3.0,1.0,95.0,Fully Furnished,7
Ready To Move,JP Nagar,2,1050.0,2.0,1.0,71.0,Semi Furnished,0
Ready To Move,Kanakpura Road,3,1843.0,3.0,2.0,95.0,Fully Furnished,7
Ready To Move,Chandapura,2,1200.0,2.0,1.0,65.0,Semi Furnished,5
Under Construction,Sarjapur  Road,3,1476.0,,,98.94,Fully Furnished,7
Ready To Move,Bellandur,3,2400.0,3.0,2.0,115.0,Fully Furnished,7
Ready To Move,Bellandur,3,1767.0,3.0,2.0,89.0,Fully Furnished,6
Ready To Move,JP Nagar,3,1790.0,3.0,3.0,120.0,Fully Furnished,7
Ready To Move,Yeshwanthpur,2,1167.0,2.0,2.0,64.08,Semi Furnished,5
Ready To Move,Whitefield,2,1020.0,2.0,2.0,45.0,Semi Furnished,3
Under Construction,Haralur Road,1,575.0,1.0,1.0,38.0,Semi Furnished,2
Ready To Move,Sarjapur  Road,3,1670.0,2.0,3.0,57.0,Semi Furnished,4
Under Construction,Thanisandra,1,923.0,1.0,1.0,60.84,Semi Furnished,0
Under Construction,Thanisandra,3,1732.0,3.0,1.0,85.73,Fully Furnished,6
